Extension,Description,Install
Remote - SSH,Open any folder on a remote machine using SSH and take advantage of VS Code's full feature set.,https://ms-vscode-remote.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode-remote/extension/remote-ssh/0.116.2024120517/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Remote - SSH: Editing Configuration Files,Edit SSH configuration files,https://ms-vscode-remote.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode-remote/extension/remote-ssh-edit/0.87.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
WSL,Open any folder in the Windows Subsystem for Linux (WSL) and take advantage of Visual Studio Code's full feature set.,https://ms-vscode-remote.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode-remote/extension/remote-wsl/0.88.5/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Remote Development,"An extension pack that lets you open any folder in a container, on a remote machine, or in WSL and take advantage of VS Code's full feature set.",https://ms-vscode-remote.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode-remote/extension/vscode-remote-extensionpack/0.26.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Account,A common Sign In and Subscription management extension for VS Code.,https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/azure-account/0.12.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Repos,Remotely browse and edit any Azure Repos,https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/azure-repos/0.41.2024112101/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure CLI Tools,Tools for developing and running commands of the Azure CLI.,https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/azurecli/0.6.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
PowerShell,"Develop PowerShell modules, commands and scripts in Visual Studio Code!",https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/PowerShell/2024.5.2/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Remote Explorer,View remote machines for SSH and Tunnels.,https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/remote-explorer/0.5.2024111900/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Remote Repositories,Remotely browse and edit git repositories,https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/remote-repositories/0.43.2024112101/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Tools,"Get web site hosting, SQL and MongoDB data, Docker Containers, Serverless Functions and more, all on Azure, all from VS Code, in this one extension from Microsoft.",https://ms-vscode.gallery.vsassets.io/_apis/public/gallery/publisher/ms-vscode/extension/vscode-node-azure-pack/1.2.0/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Live Share,Real-time collaborative development from the comfort of your favorite tools.,https://ms-vsliveshare.gallery.vsassets.io/_apis/public/gallery/publisher/MS-vsliveshare/extension/vsliveshare/1.0.5941/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
Azure Resource Manager (ARM) Tools,"Language server, editing tools and snippets for Azure Resource Manager (ARM) template files.",https://msazurermtools.gallery.vsassets.io/_apis/public/gallery/publisher/msazurermtools/extension/azurerm-vscode-tools/0.15.14/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
autoDocstring - Python Docstring Generator,Generates python docstrings automatically,https://njpwerner.gallery.vsassets.io/_apis/public/gallery/publisher/njpwerner/extension/autodocstring/0.6.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
indent-rainbow,Makes indentation easier to read,https://oderwat.gallery.vsassets.io/_apis/public/gallery/publisher/oderwat/extension/indent-rainbow/8.3.1/assetbyname/Microsoft.VisualStudio.Services.VSIXPackage?install=true
